,price,address,proptype,region,city,bedrooms,bathrooms,sqft
107,1375000,1014 E 7th Avenue,Apt/Condo,Mount Pleasant East,Vancouver,3,2,1406
108,2458000,806/807-5615 Hampton Place,Apt/Condo,University (Ubc),Vancouver,4,3,2300
109,749900,1107-989 Nelson Street,Apt/Condo,Downtown West,Vancouver,2,2,808
110,3500000,5006-777 Richards Street,Apt/Condo,Downtown West,Vancouver,2,3,1553
111,2998000,5505-1480 Howe Street,Apt/Condo,Yaletown,Vancouver,2,3,1593
112,639000,701-989 Nelson Street,Apt/Condo,Downtown West,Vancouver,1,1,619
113,673000,586-87 Nelson Street,Apt/Condo,Yaletown,Vancouver,1,1,534
114,698000,1401-928 Richards Street,Apt/Condo,Yaletown,Vancouver,1,1,601
115,899000,1505-907 Beach Avenue,Apt/Condo,Yaletown,Vancouver,2,2,765
116,1150000,505-110 Switchmen Street,Apt/Condo,Mount Pleasant East,Vancouver,2,2,1030
117,2998000,5505-1480 Howe Street,Apt/Condo,Yaletown,Vancouver,2,3,1593
118,499900,506-3438 Vanness Avenue,Apt/Condo,Collingwood,Vancouver,1,1,600
119,1998000,1110 W 15th Avenue,Apt/Condo,Shaughnessy,Vancouver,3,2,1580
120,2198000,1112 W 15th Avenue,Apt/Condo,Shaughnessy,Vancouver,3,1,1777
121,568800,1509-5288 Melbourne Street,Apt/Condo,Collingwood,Vancouver,2,1,844
122,550000,1606-1188 Howe Street,Apt/Condo,Downtown West,Vancouver,1,1,500
123,2880000,2404-1077 W Cordova Street,Apt/Condo,Coal Harbour,Vancouver,2,2,1357
124,1148000,1105-1055 Homer Street,Apt/Condo,Yaletown,Vancouver,2,2,923
125,1198000,701-1690 W 8th Avenue,Apt/Condo,Fairview,Vancouver,2,2,1007
126,1290000,507-638 Beach Crescent,Apt/Condo,Yaletown,Vancouver,2,2,1057
127,2588000,3201-1480 Howe Street,Apt/Condo,Yaletown,Vancouver,2,2,1483
128,6450000,1702-1560 Homer Mews,Apt/Condo,Yaletown,Vancouver,3,3,2027
129,749800,305-555 W 14th Avenue,Apt/Condo,Fairview,Vancouver,2,1,785
130,1699000,1509-3487 Binning Road,Apt/Condo,University (Ubc),Vancouver,3,2,1302
131,1149900,2507-1723 Alberni Street,Apt/Condo,West End,Vancouver,2,2,839
132,655000,307-928 Beatty Street,Apt/Condo,Yaletown,Vancouver,1,1,618
133,1448000,1401-1205 Howe Street,Apt/Condo,Downtown West,Vancouver,2,2,1248
134,1088000,319-1783 Manitoba Street,Apt/Condo,False Creek,Vancouver,2,2,1063
135,899000,305-3621 W 26th Avenue,Apt/Condo,Dunbar,Vancouver,2,2,1133
136,559000,710-489 Interurban Way,Apt/Condo,Marpole,Vancouver,1,1,561
137,599000,2604-5515 Boundary Road,Apt/Condo,Collingwood,Vancouver,1,1,601
138,1268000,106-6933 Cambie Street,Apt/Condo,South Cambie,Vancouver,2,2,1034
139,828000,1001-1005 Beach Avenue,Apt/Condo,West End,Vancouver,1,1,716
140,3289000,2203-620 Cardero Street,Apt/Condo,Coal Harbour,Vancouver,3,2,1455
141,868000,308-7580 Columbia Street,Apt/Condo,Marpole,Vancouver,2,2,1136
142,1098000,601-4189 Cambie Street,Apt/Condo,Cambie,Vancouver,2,2,864
143,2690000,1901-1280 Richards Street,Apt/Condo,Yaletown,Vancouver,2,3,1861
144,2698000,501-138 Athletes Way,Apt/Condo,False Creek,Vancouver,2,2,1688
145,1298000,504-1501 Howe Street,Apt/Condo,Yaletown,Vancouver,2,2,1135
146,969000,307-1477 W Pender Street,Apt/Condo,Coal Harbour,Vancouver,1,1,817
147,549900,309-1476 W 10th Avenue,Apt/Condo,Fairview,Vancouver,1,1,624
148,1295000,2002-1020 Harwood Street,Apt/Condo,West End,Vancouver,2,2,1040
149,599000,503-1888 York Avenue,Apt/Condo,Kitsilano,Vancouver,1,1,631
150,699000,2008-777 Richards Street,Apt/Condo,Downtown West,Vancouver,1,1,573
151,938000,101-5788 Birney Avenue,Apt/Condo,University (Ubc),Vancouver,2,2,910
152,1388000,PH3-5555 Dunbar Street,Apt/Condo,Southlands,Vancouver,3,3,1366
153,979000,2402-128 W Cordova Street,Apt/Condo,Downtown West,Vancouver,2,2,918
154,589900,405-2688 Vine Street,Apt/Condo,Kitsilano,Vancouver,1,1,558
155,655000,307-928 Beatty Street,Apt/Condo,Yaletown,Vancouver,1,1,618
156,549000,316-2220 Kingsway,Apt/Condo,Victoria East,Vancouver,1,1,569
157,998900,405-1088 Quebec Street,Apt/Condo,Downtown East,Vancouver,2,2,1215
158,4250000,805-1600 Hornby Street,Apt/Condo,Yaletown,Vancouver,2,3,1781
159,629000,204-2505 E Broadway,Apt/Condo,Renfrew,Vancouver,2,2,972
160,489000,1606-3588 Crowley Drive,Apt/Condo,Collingwood,Vancouver,1,1,601
161,699000,212-1045 W 8th Avenue,Apt/Condo,Fairview,Vancouver,2,1,745
